,etf_ticker,collected_at,symbol,name,weight,weight_pct,shares_owned,shares_owned_num,shares_value,shares_value_num
48,SCHD,2026-04-13 08:09:29.474348+00:00,BAH,Booz Allen Hamilton Holding Corp Class A,0.27%,0.27,2.7M,2700000.0,$229.5M,229500000.0
49,SCHD,2026-04-13 08:09:29.474348+00:00,DINO,HF Sinclair Corp,0.25%,0.25,3.5M,3500000.0,$215.3M,215300000.0
50,SCHD,2026-04-13 08:09:29.474348+00:00,ORI,Old Republic International Corp,0.25%,0.25,5.2M,5200000.0,$208.7M,208700000.0
51,SCHD,2026-04-13 08:09:29.474348+00:00,AFG,American Financial Group Inc,0.24%,0.24,1.6M,1600000.0,$204.6M,204600000.0
52,SCHD,2026-04-13 08:09:29.474348+00:00,COLB,Columbia Banking System Inc,0.22%,0.22,6.7M,6700000.0,$185.0M,185000000.0
53,SCHD,2026-04-13 08:09:29.474348+00:00,SWKS,Skyworks Solutions Inc,0.22%,0.22,3.4M,3400000.0,$187.5M,187500000.0
54,SCHD,2026-04-13 08:09:29.474348+00:00,ALV,Autoliv Inc,0.19%,0.19,1.6M,1600000.0,$161.9M,161900000.0
56,SCHD,2026-04-13 08:09:29.474348+00:00,ERIE,Erie Indemnity Co Class A,0.17%,0.17,575.5K,575500.0,$143.0M,143000000.0
57,SCHD,2026-04-13 08:09:29.474348+00:00,MUR,Murphy Oil Corp,0.15%,0.15,3.0M,3000000.0,$130.0M,130000000.0
58,SCHD,2026-04-13 08:09:29.474348+00:00,NXST,Nexstar Media Group Inc,0.14%,0.14,646.1K,646100.0,$122.0M,122000000.0
59,SCHD,2026-04-13 08:09:29.474348+00:00,M,Macy's Inc,0.13%,0.13,6.0M,6000000.0,$109.0M,109000000.0
60,SCHD,2026-04-13 08:09:29.474348+00:00,OZK,Bank OZK,0.13%,0.13,2.3M,2300000.0,$109.6M,109600000.0
61,SCHD,2026-04-13 08:09:29.474348+00:00,MTN,Vail Resorts Inc,0.12%,0.12,811.4K,811400.0,$105.2M,105200000.0
62,SCHD,2026-04-13 08:09:29.474348+00:00,FHI,Federated Hermes Inc Class B,0.11%,0.11,1.7M,1700000.0,$95.0M,95000000.0
63,SCHD,2026-04-13 08:09:29.474348+00:00,MSM,MSC Industrial Direct Co Inc Class A,0.11%,0.11,1.0M,1000000.0,$94.0M,94000000.0
64,SCHD,2026-04-13 08:09:29.474348+00:00,MC,Moelis & Co Class A,0.11%,0.11,1.7M,1700000.0,$96.1M,96100000.0
65,SCHD,2026-04-13 08:09:29.474348+00:00,KFY,Korn Ferry,0.09%,0.09,1.2M,1200000.0,$74.8M,74800000.0
66,SCHD,2026-04-13 08:09:29.474348+00:00,MZTI,The Marzetti Co,0.08%,0.08,459.0K,459000.0,$66.4M,66400000.00000001
67,SCHD,2026-04-13 08:09:29.474348+00:00,APAM,Artisan Partners Asset Management Inc Cl...,0.07%,0.07,1.6M,1600000.0,$56.7M,56700000.0
68,SCHD,2026-04-13 08:09:29.474348+00:00,CVBF,CVB Financial Corp,0.07%,0.07,2.9M,2900000.0,$57.4M,57400000.0
